left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,name_yoga
167.0101644911786,172.27774984457756,9.049096962535499,8.586239757886549,84.87096015693068,83.68731731495276,26.735362414297487,25.595068085157884,171.43936607547684,170.61796369025396,26.735362414297487,25.595068085157884,baddha-konasana
157.03435140922673,164.02835123656263,78.10324303451749,78.05102112405402,100.40315037017818,103.56388795656324,96.62270881724946,97.28165035199228,156.63551283382685,160.98791200288974,96.62270881724946,97.28165035199228,Bow_Pose
162.4078754294581,165.7358794519237,155.74968812436188,160.87201684474437,73.52209962810906,74.14128586484347,77.73087029698118,78.12249561921332,70.63362980801726,71.0003439341658,77.73087029698118,78.12249561921332,chair_pose
169.65952290723436,167.12657915909023,20.807735637059515,18.34217196239598,124.9976527730104,125.17510212459361,160.6300839683809,162.11753158067307,144.05954517903382,143.6788920432635,160.6300839683809,162.11753158067307,Cobra-pose
171.18900418745366,167.34825893866991,174.5646324066785,175.38504120221643,53.51265190158314,52.111405584932314,178.28664909337257,177.5358108554679,121.66568222960547,117.68566722019554,178.28664909337257,177.5358108554679,downdog
42.372619082113964,43.239852475835754,38.116644520784135,34.20436120742748,62.22465713393859,63.92834012755926,69.71080192960763,74.54082722120546,75.24315105646974,83.4015686526786,69.71080192960763,74.54082722120546,Eight-Limbed-Pose
170.48181067258443,171.8600576654525,30.573979742869362,32.40755386297537,98.3849331423623,109.05888307114849,95.50437732847794,98.3268939847164,130.35309838648965,120.60460176868568,95.50437732847794,98.3268939847164,Equestrian-Pose
164.16526368867676,167.12502130186468,82.51409880628587,92.82188133243794,129.13265189663124,113.11388207315848,176.88647052991686,174.06116031417102,138.11899526076982,126.07305662591875,176.88647052991686,174.06116031417102,half-moon
158.805261894661,156.65841352714241,29.43446468705679,32.97545433045843,112.7361507009208,113.31151734349149,157.70466574451507,159.15511550695388,121.42430903937493,130.07323868345435,157.70466574451507,159.15511550695388,legs-up-wall
127.82513212841977,120.67169719794386,100.3158786825005,97.87877004415621,41.14396502167602,39.05405263045133,150.13870723689158,141.86992302077616,94.80985393823083,105.73995658474375,150.13870723689158,141.86992302077616,paschimottanasana
50.73337360610189,52.822505096039926,17.45993519845866,16.5127742569106,173.97433977351912,173.634708532251,177.998083470624,177.61950897338994,108.7758418985487,108.45083928306019,177.998083470624,177.61950897338994,prayer_pose
165.87802003219338,164.07465683898803,175.2709805174658,175.73019731248027,172.93068376581144,174.01718938492584,176.30047497359004,175.18574990363544,172.82763933672055,170.09588194451905,176.30047497359004,175.18574990363544,Raised-arms-pose
75.80866169734108,79.33484953178564,54.428252581912275,56.86240514698652,129.46164418496315,128.5257156833428,161.31954895017012,161.49784878789976,133.46291482693297,133.80899992985246,161.31954895017012,161.49784878789976,sarvangasana
164.34520558257572,167.78412324494766,41.33269939905527,40.46515333723368,170.6349615639554,168.00826442029546,175.12242975341405,176.82155344755782,129.88059815144385,132.81127800797714,175.12242975341405,176.82155344755782,savasana
167.0143376475073,169.25651142378996,61.71462913126474,57.862948512645495,156.0418290219769,155.3641766704141,53.477004874236115,59.108412036365635,127.13650788863234,135.7044694768751,53.477004874236115,59.108412036365635,setu-bandhasana
166.42550194515985,171.04355275030247,132.879763543997,138.39811597098034,28.91505066792562,26.318487176664135,167.16228995387368,167.75066900102746,114.02161459691304,115.60889540618128,167.16228995387368,167.75066900102746,Standing-Forward-Bend
135.73804613731207,133.6325619590788,71.70385342607369,72.79597560168898,167.75666458160126,167.58569716355535,174.55378417445687,175.6383901055843,103.40121137253512,104.99905889813792,174.55378417445687,175.6383901055843,Stick-pose
145.48849545986508,139.464890750228,24.723928590848836,22.730285582206918,85.21925692909517,84.82146182336061,16.58049095498764,17.67327590545469,170.992699288869,169.34353742384582,16.58049095498764,17.67327590545469,sukhasana
171.67147427437126,174.71727931250487,118.14721383020081,93.39093447643496,123.25631083253056,88.83521004544936,176.12892782214556,170.04924958049153,155.2473702228872,142.70831204486203,176.12892782214556,170.04924958049153,triangle-pose
155.53661266563296,157.00251956584614,154.6821939041727,155.35168747995155,101.55604054227551,100.4319686890964,125.02660606478908,120.16088825583097,144.24244440509082,145.61160149111785,125.02660606478908,120.16088825583097,upward-bow
169.2049336231154,167.71776445536335,30.826384395675802,29.79315461759021,171.54334560761214,172.17866298471418,175.6937452720881,175.10362202134687,167.2437792720778,166.06215347588298,175.6937452720881,175.10362202134687,upwardSalute
147.50642349379163,147.1805291836112,60.232694618922096,61.95850619186586,115.99243632247584,116.18417686092009,99.43524024323195,106.00915844529116,159.92808900458064,158.4782181490875,99.43524024323195,106.00915844529116,ustrasana
164.2658969027556,161.46046377961298,166.56529895030388,165.42877486532262,113.71979315748328,113.79460811660904,145.83153436927824,133.6016131898994,98.68770835656433,100.06824269644503,145.83153436927824,133.6016131898994,warrior-I
171.29590457194266,172.92133741193865,104.08512031780438,99.5777248991319,119.04942013155933,111.7849095105974,154.06588852430662,133.47310582312772,147.1485189668875,142.17362281276138,154.06588852430662,133.47310582312772,warrior-II
